# charactristic, type, id, mat1, mat2, tmat, weight, delta
945e0ad4a30ec19432dfa9d5959e5d5d,64,0,fa051f40,ffd0fff4,58d02ffeffbfffbc,65,0
c8a646f09f334156a307970051b83461,64,0,daa51b54,fed47fb5,a853e7ffeffefffe,55,0
c6d63a1d259b079d5c056853ebd36cb7,64,0,c0bf1817,fe047f81,7fc75ff6ffffffbc,67,0
9f0678a5b7b90af5e7cb430d1e7c272b,64,0,c03f1807,fe00ff80,14727d7fff7f7ffe,69,0
c488d75651a5baac842c1dae4f85e6f7,64,0,443b0887,fa247e89,f0d0e77bef7fdffa,65,0
e44d4501b3fddf08fe9057bd2f928c47,64,0,275804eb,f93c7e4f,776007f7fffdfffe,67,0
813127998b34a2588fb6363b82af34cb,64,0,22dd045b,f910fe44,1de2bf7fefffdfbc,61,0
e1654b9d1de252a2d48642361e1baee7,64,0,077800ef,f83c7e0f,7a0836fbbfff7ffe,63,0
cdc5edb21255728e6bf6eac3f643dce1,64,0,daa41b54,f6dc7db7,5fdebffccf3ffffe,71,0
d1ac5fc55ae66712dba2ea08cec64541,64,0,bcc21798,f5ec7d7b,60df36f7fffdfffe,63,0
d27edd6eabde53f8f18c7b4c83190a37,64,0,80fe101f,f40c7d03,f81bf877ffbdbffa,71,0
acf83c597f7be394c99d32f0af1ae88d,64,0,7a840f50,f3d8fcf6,9746beffffbffffe,71,0
f86f52a8d83774e6ac233f3e8165dfc7,64,0,611f0c23,f3047cc1,d2faed7ffdfdfffe,71,0
ac1dee5601850bafc2c17a77837e83fb,64,0,47b908f7,f230fc8c,49903fffff7efffe,67,0
c1eb7c14dcc389744cdd606de87e0e77,64,0,443a0887,f22c7c8b,b99d5afaffffeffe,67,0
d0203025dfe0eec929a50eb1274f8077,64,0,047a008f,f02c7c0b,d9c6b6f7ffbfffbc,59,0
979e3684a3e7c3e8160d56ddc4a95c4b,64,0,e31e1c63,ef08fbc2,7197ddf7dfffdfbc,65,0
a06a64d51dbb78b109f1f6dd17d9d52d,64,0,dc211b84,eef0fbbc,9dda76fbdfffeffe,69,0
bc03d6a255086d2db9a5f6162f5c4c8d,64,0,ba471748,edc0fb70,e4c03f77ffbefffe,63,0
